Airport Name,City,Country,3 Char Code,Identifier,Lat,Long,rand1,rand2,rand3
Goroka Airport,Goroka,Papua New Guinea,GKA,AYGA,-6.081689835,145.3919983,5282,10,U
Madang Airport,Madang,Papua New Guinea,MAG,AYMD,-5.207079887,145.7890015,20,10,U
Mount Hagen Kagamuga Airport,Mount Hagen,Papua New Guinea,HGU,AYMH,-5.826789856,144.2960052,5388,10,U
Nadzab Airport,Nadzab,Papua New Guinea,LAE,AYNZ,-6.569803,146.725977,239,10,U
Port Moresby Jacksons International Airport,Port Moresby,Papua New Guinea,POM,AYPY,-9.443380356,147.2200012,146,10,U
Wewak International Airport,Wewak,Papua New Guinea,WWK,AYWK,-3.583830118,143.6690063,19,10,U
Narsarsuaq Airport,Narssarssuaq,Greenland,UAK,BGBW,61.16049957,-45.42599869,112,-3,E
Godthaab / Nuuk Airport,Godthaab,Greenland,GOH,BGGH,64.19090271,-51.67810059,283,-3,E
Kangerlussuaq Airport,Sondrestrom,Greenland,SFJ,BGSF,67.0122219,-50.71160316,165,-3,E
Thule Air Base,Thule,Greenland,THU,BGTL,76.53119659,-68.70320129,251,-4,E
Akureyri Airport,Akureyri,Iceland,AEY,BIAR,65.66000366,-18.0727005,6,0,N
Egilsstaðir Airport,Egilsstadir,Iceland,EGS,BIEG,65.28330231,-14.40139961,76,0,N
Hornafjörður Airport,Hofn,Iceland,HFN,BIHN,64.295601,-15.2272,24,0,N
Húsavík Airport,Husavik,Iceland,HZK,BIHU,65.952301,-17.426001,48,0,N
Ísafjörður Airport,Isafjordur,Iceland,IFJ,BIIS,66.05809784,-23.13529968,8,0,N
Keflavik International Airport,Keflavik,Iceland,KEF,BIKF,63.98500061,-22.60560036,171,0,N
Patreksfjörður Airport,Patreksfjordur,Iceland,PFJ,BIPA,65.555801,-23.965,11,0,N
Reykjavik Airport,Reykjavik,Iceland,RKV,BIRK,64.12999725,-21.94059944,48,0,N
Siglufjörður Airport,Siglufjordur,Iceland,SIJ,BISI,66.133301,-18.9167,10,0,N
Vestmannaeyjar Airport,Vestmannaeyjar,Iceland,VEY,BIVM,63.42430115,-20.27890015,326,0,N
Sault Ste Marie Airport,Sault Sainte Marie,Canada,YAM,CYAM,46.48500061,-84.50939941,630,-5,A
Winnipeg / St. Andrews Airport,Winnipeg,Canada,YAV,CYAV,50.0564003,-97.03250122,760,-6,A
Halifax / CFB Shearwater Heliport,Halifax,Canada,YAW,CYAW,44.63970184,-63.49940109,144,-4,A
St. Anthony Airport,St. Anthony,Canada,YAY,CYAY,51.39189911,-56.08309937,108,-3.5,A
Tofino / Long Beach Airport,Tofino,Canada,YAZ,CYAZ,49.079833,-125.775583,80,-8,A
Kugaaruk Airport,Pelly Bay,Canada,YBB,CYBB,68.534401,-89.808098,56,-7,A
Baie Comeau Airport,Baie Comeau,Canada,YBC,CYBC,49.13249969,-68.20439911,71,-5,A
CFB Bagotville,Bagotville,Canada,YBG,CYBG,48.33060074,-70.99639893,522,-5,A
Baker Lake Airport,Baker Lake,Canada,YBK,CYBK,64.29889679,-96.07779694,59,-6,A
Campbell River Airport,Campbell River,Canada,YBL,CYBL,49.95080185,-125.2710037,346,-8,A
Brandon Municipal Airport,Brandon,Canada,YBR,CYBR,49.91,-99.951897,1343,-6,A
Cambridge Bay Airport,Cambridge Bay,Canada,YCB,CYCB,69.10810089,-105.1380005,90,-7,A
Nanaimo Airport,Nanaimo,Canada,YCD,CYCD,49.05497022,-123.8698626,92,-8,A
Castlegar/West Kootenay Regional Airport,Castlegar,Canada,YCG,CYCG,49.29639816,-117.6320038,1624,-8,A
Miramichi Airport,Chatham,Canada,YCH,CYCH,47.007801,-65.449203,108,-4,A
Charlo Airport,Charlo,Canada,YCL,CYCL,47.990799,-66.330299,132,-4,A
Kugluktuk Airport,Coppermine,Canada,YCO,CYCO,67.8167038,-115.1439972,74,-7,A
Coronation Airport,Coronation,Canada,YCT,CYCT,52.07500076,-111.4449997,2595,-7,A
Chilliwack Airport,Chilliwack,Canada,YCW,CYCW,49.15280151,-121.939003,32,-8,A
Clyde River Airport,Clyde River,Canada,YCY,CYCY,70.48609924,-68.51670074,87,-5,A
Coral Harbour Airport,Coral Harbour,Canada,YZS,CYZS,64.19329834,-83.35939789,210,-5,A
Dawson City Airport,Dawson,Canada,YDA,CYDA,64.04309845,-139.128006,1215,-8,A
Burwash Airport,Burwash,Canada,YDB,CYDB,61.37110138,-139.0410004,2647,-8,A
Princeton Airport,Princeton,Canada,YDC,CYDC,49.4681015,-120.5110016,2298,-8,A
Deer Lake Airport,Deer Lake,Canada,YDF,CYDF,49.21080017,-57.39139938,72,-3.5,A
Dease Lake Airport,Dease Lake,Canada,YDL,CYDL,58.42219925,-130.0319977,2600,-8,A
Dauphin Barker Airport,Dauphin,Canada,YDN,CYDN,51.10079956,-100.052002,999,-6,A
Dawson Creek Airport,Dawson Creek,Canada,YDQ,CYDQ,55.74229813,-120.1829987,2148,-7,A
Edmonton International Airport,Edmonton,Canada,YEG,CYEG,53.30970001,-113.5800018,2373,-7,A
Arviat Airport,Eskimo Point,Canada,YEK,CYEK,61.09420013,-94.07080078,32,-6,A
Estevan Airport,Estevan,Canada,YEN,CYEN,49.21030045,-102.9660034,1905,-6,N
Edson Airport,Edson,Canada,YET,CYET,53.57889938,-116.4649963,3043,-7,A
Eureka Airport,Eureka,Canada,YEU,CYEU,79.99469757,-85.81420136,256,-6,A
Inuvik Mike Zubko Airport,Inuvik,Canada,YEV,CYEV,68.30419922,-133.4830017,224,-7,A
Iqaluit Airport,Iqaluit,Canada,YFB,CYFB,63.75640106,-68.55580139,110,-5,A
Fredericton Airport,Fredericton,Canada,YFC,CYFC,45.8689003,-66.53720093,68,-4,A
Forestville Airport,Forestville,Canada,\N,CYFE,48.74610138,-69.09719849,293,-5,A
Flin Flon Airport,Flin Flon,Canada,YFO,CYFO,54.67810059,-101.6819992,997,-6,A
Fort Resolution Airport,Fort Resolution,Canada,YFR,CYFR,61.18080139,-113.6900024,526,-7,A
Fort Simpson Airport,Fort Simpson,Canada,YFS,CYFS,61.7602005,-121.2369995,555,-7,A
Kingston Norman Rogers Airport,Kingston,Canada,YGK,CYGK,44.22529984,-76.59690094,305,-5,A
La Grande Rivière Airport,La Grande Riviere,Canada,YGL,CYGL,53.62530136,-77.70420074,639,-5,A
Gaspé (Michel-Pouliot) Airport,Gaspe,Canada,YGP,CYGP,48.77529907,-64.47859955,112,-5,A
Geraldton Greenstone Regional Airport,Geraldton,Canada,YGQ,CYGQ,49.77830124,-86.93939972,1144,-5,A
Îles-de-la-Madeleine Airport,Iles De La Madeleine,Canada,YGR,CYGR,47.42470169,-61.77809906,35,-5,A
Hudson Bay Airport,Hudson Bay,Canada,YHB,CYHB,52.81669998,-102.310997,1175,-6,N
Dryden Regional Airport,Dryden,Canada,YHD,CYHD,49.83169937,-92.74420166,1354,-6,A
Ulukhaktok Holman Airport,Holman Island,Canada,YHI,CYHI,70.76280212,-117.8059998,117,-7,A
Gjoa Haven Airport,Gjoa Haven,Canada,YHK,CYHK,68.63559723,-95.84970093,152,-7,A
John C. Munro Hamilton International Airport,Hamilton,Canada,YHM,CYHM,43.17359924,-79.93499756,780,-5,A
Montréal / Saint-Hubert Airport,Montreal,Canada,YHU,CYHU,45.51750183,-73.41690063,90,-5,A
Hay River / Merlyn Carter Airport,Hay River,Canada,YHY,CYHY,60.83969879,-115.7829971,541,-7,A
Halifax / Stanfield International Airport,Halifax,Canada,YHZ,CYHZ,44.88079834,-63.50859833,477,-4,A
Atikokan Municipal Airport,Atikokan,Canada,YIB,CYIB,48.77389908,-91.63860321,1408,-5,A
Pond Inlet Airport,Pond Inlet,Canada,YIO,CYIO,72.6832962,-77.96669769,181,-5,A
St Jean Airport,St. Jean,Canada,YJN,CYJN,45.29439926,-73.28109741,136,-5,A
Stephenville Airport,Stephenville,Canada,YJT,CYJT,48.5442009,-58.54999924,84,-3.5,A
Kamloops Airport,Kamloops,Canada,YKA,CYKA,50.70220184,-120.4440002,1133,-8,A
Waterloo Airport,Waterloo,Canada,YKF,CYKF,43.46080017,-80.37860107,1055,-5,A
Schefferville Airport,Schefferville,Canada,YKL,CYKL,54.80530167,-66.80529785,1709,-5,A
Kindersley Airport,Kindersley,Canada,YKY,CYKY,51.51750183,-109.1809998,2277,-6,N
Buttonville Municipal Airport,Toronto,Canada,YKZ,CYKZ,43.86220169,-79.37000275,650,-5,A
Chapleau Airport,Chapleau,Canada,YLD,CYLD,47.81999969,-83.34670258,1470,-5,A
Meadow Lake Airport,Meadow Lake,Canada,YLJ,CYLJ,54.12530136,-108.5230026,1576,-6,N
Lloydminster Airport,Lloydminster,Canada,YLL,CYLL,53.30920029,-110.072998,2193,-7,A
Alert Airport,Alert,Canada,YLT,CYLT,82.51779938,-62.2806015,100,-5,A
Kelowna International Airport,Kelowna,Canada,YLW,CYLW,49.95610046,-119.3779984,1421,-8,A
Mayo Airport,Mayo,Canada,YMA,CYMA,63.61640167,-135.8679962,1653,-8,A
Moose Jaw Air Vice Marshal C. M. McEwen Airport,Moose Jaw,Canada,YMJ,CYMJ,50.33029938,-105.5589981,1892,-6,N
Fort McMurray Airport,Fort Mcmurray,Canada,YMM,CYMM,56.65330124,-111.2220001,1211,-7,A
Moosonee Airport,Moosonee,Canada,YMO,CYMO,51.29109955,-80.60780334,30,-5,A
Maniwaki Airport,Maniwaki,Canada,YMW,CYMW,46.27280045,-75.99060059,656,-5,A
Montreal International (Mirabel) Airport,Montreal,Canada,YMX,CYMX,45.67950058,-74.03869629,270,-5,A
Natashquan Airport,Natashquan,Canada,YNA,CYNA,50.18999863,-61.78919983,39,-5,A
Ottawa / Gatineau Airport,Gatineau,Canada,YND,CYND,45.52170181,-75.56359863,211,-5,A
Matagami Airport,Matagami,Canada,YNM,CYNM,49.76169968,-77.80280304,918,-5,A
Old Crow Airport,Old Crow,Canada,YOC,CYOC,67.57060242,-139.8390045,824,-8,A
CFB Cold Lake,Cold Lake,Canada,YOD,CYOD,54.40499878,-110.2789993,1775,-7,A
High Level Airport,High Level,Canada,YOJ,CYOJ,58.62139893,-117.1650009,1110,-7,A
Ottawa Macdonald-Cartier International Airport,Ottawa,Canada,YOW,CYOW,45.32249832,-75.66919708,374,-5,A
Prince Albert Glass Field,Prince Albert,Canada,YPA,CYPA,53.21419907,-105.6729965,1405,-6,N
Peace River Airport,Peace River,Canada,YPE,CYPE,56.22689819,-117.4469986,1873,-7,A
Southport Airport,Portage-la-prairie,Canada,YPG,CYPG,49.903099,-98.273817,885,-6,A
Pitt Meadows Airport,Pitt Meadows,Canada,\N,CYPK,49.21609879,-122.7099991,11,-8,A
Pickle Lake Airport,Pickle Lake,Canada,YPL,CYPL,51.44639969,-90.21420288,1267,-5,A
Port Menier Airport,Port Menier,Canada,YPN,CYPN,49.83639908,-64.28859711,167,-5,A
Peterborough Airport,Peterborough,Canada,YPQ,CYPQ,44.22999954,-78.36329651,628,-5,A
Prince Rupert Airport,Prince Pupert,Canada,YPR,CYPR,54.28609848,-130.4450073,116,-8,A
Fort Chipewyan Airport,Fort Chipewyan,Canada,YPY,CYPY,58.76720047,-111.1169968,761,-7,A
Muskoka Airport,Muskoka,Canada,YQA,CYQA,44.97470093,-79.30329895,925,-5,A
Quebec Jean Lesage International Airport,Quebec,Canada,YQB,CYQB,46.7911,-71.393303,244,-5,A
Red Deer Regional Airport,Red Deer Industrial,Canada,YQF,CYQF,52.18220139,-113.8939972,2968,-7,A
Windsor Airport,Windsor,Canada,YQG,CYQG,42.27560043,-82.95559692,622,-5,A
Watson Lake Airport,Watson Lake,Canada,YQH,CYQH,60.11640167,-128.8220062,2255,-8,A
Kenora Airport,Kenora,Canada,YQK,CYQK,49.78829956,-94.36309814,1332,-6,A
Lethbridge County Airport,Lethbridge,Canada,YQL,CYQL,49.63029861,-112.8000031,3048,-7,A
Greater Moncton International Airport,Moncton,Canada,YQM,CYQM,46.11220169,-64.6785965,232,-4,A
Comox Airport,Comox,Canada,YQQ,CYQQ,49.71080017,-124.887001,84,-8,A
Regina International Airport,Regina,Canada,YQR,CYQR,50.43190002,-104.6660004,1894,-6,N
Thunder Bay Airport,Thunder Bay,Canada,YQT,CYQT,48.37189865,-89.32389832,653,-5,A
Grande Prairie Airport,Grande Prairie,Canada,YQU,CYQU,55.17969894,-118.8850021,2195,-7,A
